text,label,phishing_type,severity,confidence
"Hello, this is the paypal security team. There are policy violations on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a restriction.

Compliance Team,
Morgan Patel",1,authority_scam,high,0.8
"Thanks for attending the workshop. Here are the links to references and the slide deck.

Thanks for reviewing the document.

Best,
Sam Lee",0,legitimate,low,0.97
"Hello, final warning. Failure to respond will hold your account. Immediate action is required to avoid fine. Your case will be referred to the judge if unresolved.

Risk Operations,
Cameron Wong",1,threats,high,0.9
"Attention, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Compliance Team,
Alex Nguyen",1,generic_phishing,medium,0.66
"Hello, confirming our meeting on Thursday at 2 PM in the conference room. Please bring the draft slides for review.

Feel free to add notes before we meet.

Best,
Jamie Patel",0,legitimate,low,0.95
"Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Let me know if the timing works for you.

Best,
Jamie Lee",0,legitimate,low,0.96
"Dear user, this is the legal compliance team. There are policy violations on your account. To remain in good standing, follow the official steps to review your account today. Failure to respond may result in a suspension.

IT Desk,
Morgan Garcia",1,authority_scam,high,0.92
"Dear user, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Security Team,
Jamie Patel",1,credential_harvesting,high,0.8
"Hello, we detected unusual activity on your account. To restore access, please update your information. Your account may be restricted until you reactivate it.

Account Services,
Alex Kim",1,social_engineering,high,0.81
"Hi there, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Compliance Team,
Sam Wong",1,urgency,high,0.89
"Quick reminder about the training session tomorrow. The materials are in the shared drive.

Appreciate your feedback on this draft.

Best,
Casey Lee",0,legitimate,low,0.95
"Hello, this is the fraud prevention compliance team. There are security concerns on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a restriction.

Sincerely,
Sam Nguyen",1,authority_scam,high,0.95
"Please find the minutes from our last meeting. Action items are listed at the end of the note for convenience.

I'll share the slides later today.

Best,
Jamie Patel",0,legitimate,low,0.98
"I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

I'll share the slides later today.

Best,
Alex Garcia",0,legitimate,low,0.97
"Dear customer, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Compliance Team,
Casey Lee",1,romance_dating,high,0.87
"Thanks for attending the workshop. Here are the links to references and the slide deck.

I'll share the slides later today.

Best,
Jordan Patel",0,legitimate,low,0.99
"Attention, we detected a login attempt on your account. To verify access, please validate your information. Your account may be locked until you recover it.

Risk Operations,
Jordan Lee",1,social_engineering,high,0.87
"Please find the minutes from our last meeting. Action items are listed at the end for convenience.

Thanks for reviewing the document.

Best,
Jordan Brown",0,legitimate,low,0.96
"Hi there, congratulations! You are the selected recipient of a prize. To redeem your payment of ₹80,000, please provide your credit card to process the total. This deal is available today only.

Security Team,
Casey Lee",1,financial_scam,medium,0.74
"Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

I'll share the slides later today.

Best,
Morgan Kim",0,legitimate,low,0.95
"Dear customer, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Regards,
Taylor Brown",1,generic_phishing,low,0.74
"Dear user, final warning. Failure to respond will hold your account. Immediate action is required to avoid legal action. Your case will be referred to the judge if unresolved.

IT Desk,
Morgan Brown",1,threats,high,0.83
"Notice, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Compliance Team,
Jamie Wong",1,urgency,high,0.78
"Sharing the revised documentation with examples. The new endpoints are described in section two.

Appreciate your feedback on this draft.

Best,
Jamie Kim",0,legitimate,low,0.95
"Attention, this is an act now notice regarding your account. Your access will expire within 24 hours. To avoid interruption, respond asap. This offer is time sensitive and ends soon. Follow the instructions now.

Regards,
Riley Garcia",1,urgency,high,0.9
"Dear customer, your login has been suspended. Use the secure link to update password and restore access. Enter your 2FA code to continue.

Account Services,
Jamie Wong",1,credential_harvesting,high,0.94
"Account holder, this is the account services accounts team. There are security violations on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a hold.

Risk Operations,
Avery Patel",1,authority_scam,high,0.8
"Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Feel free to add notes before we meet.

Best,
Jordan Garcia",0,legitimate,low,0.95
"Thanks for your help on the analysis. I've pushed the changes and added comments in the PR for clarity.

Let me know if the timing works for you.

Best,
Alex Lee",0,legitimate,low,0.97
"Hello, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Support Desk,
Casey Lee",1,tech_support,high,0.95
"Dear customer, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Sincerely,
Jordan Kim",1,urgency,medium,0.79
"Thanks for attending the workshop. Here are the links to references and the slide deck.

Appreciate your feedback on this draft.

Best,
Jordan Brown",0,legitimate,low,0.96
"Thanks for attending the workshop. Here are links to references and the slide deck.

Feel free to add notes before we meet.

Best,
Casey Singh",0,legitimate,low,0.97
"Thanks for your help on the analysis. I've pushed the changes and added comments in the PR for clarity.

Appreciate your feedback on this draft.

Best,
Morgan Brown",0,legitimate,low,0.98
"Dear customer, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Regards,
Cameron Garcia",1,tech_support,high,0.92
"Attention, this is an instantly notice regarding your account. Your access will be limited today. To avoid interruption, act now. This offer is time sensitive and expires midnight. Follow the instructions now.

Sincerely,
Jordan Garcia",1,urgency,high,0.79
"Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

Let me know if the timing works for you.

Best,
Taylor Garcia",0,legitimate,low,0.98
"Notice, this is an time sensitive notice regarding your account. Your access will expire soon. To avoid interruption, respond asap. This offer is last chance and expires midnight. Follow the instructions now.

Account Services,
Morgan Singh",1,urgency,high,0.86
"Notice, we detected a security alert on your account. To verify access, please validate your information. Your account may be locked until you recover it.

Security Team,
Morgan Lee",1,social_engineering,high,0.89
"Dear customer, your profile has been locked. Use the secure link to update password and restore access. Enter your username and password to continue.

Security Team,
Taylor Brown",1,credential_harvesting,high,0.94
"Notice, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Sincerely,
Sam Lee",1,tech_support,high,0.82
"Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Feel free to add notes before we meet.

Best,
Alex Lee",0,legitimate,low,0.99
"Dear customer, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

IT Desk,
Riley Lee",1,tech_support,high,0.91
"Notice, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Regards,
Cameron Brown",1,credential_harvesting,high,0.96
"Hi there, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Compliance Team,
Jamie Singh",1,romance_dating,high,0.92
"Hi there, we detected a login attempt on your account. To verify access, please validate your information. Your account may be locked until you recover it.

Account Services,
Casey Brown",1,social_engineering,high,0.88
"Dear user, this is an quick notice regarding your account. Your access will be limited soon. To avoid interruption, respond asap. This offer is time sensitive and ends soon. Follow the instructions now.

Regards,
Avery Martinez",1,urgency,high,0.77
"Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Appreciate your feedback on this draft.

Best,
Sam Patel",0,legitimate,low,0.99
"Dear user, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Compliance Team,
Jordan Kim",1,generic_phishing,low,0.89
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Security Team,
Avery Wong",1,romance_dating,medium,0.71
"Thanks for attending the workshop. Here are links to references and the slide deck.

Feel free to add notes before we meet.

Best,
Sam Khan",0,legitimate,low,0.97
"Attention, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Sincerely,
Taylor Garcia",1,urgency,medium,0.87
"Notice, this is the facebook security team. There are security concerns on your account. To remain in good standing, follow the official steps to review your account today. Failure to respond may result in a suspension.

Support Desk,
Casey Lee",1,authority_scam,high,0.81
"Dear customer, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Support Desk,
Cameron Lee",1,urgency,medium,0.94
"Thanks for your help on the analysis. I've pushed the changes and added comments in the PR for clarity.

I'll share the slides later today.

Best,
Casey Wong",0,legitimate,low,0.98
"Dear user, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

IT Desk,
Riley Wong",1,romance_dating,medium,0.88
"Please find the minutes from our last meeting. Action items are listed at the end for convenience.

Feel free to add notes before we meet.

Best,
Casey Martinez",0,legitimate,low,0.98
"Hello, final warning. Failure to respond will restrict your account. Immediate action is required to avoid penalty. Your case will be referred to the judge if unresolved.

Compliance Team,
Riley Garcia",1,threats,high,0.92
"Dear user, this is an while supplies last notice regarding your account. Your access will expire within 24 hours. To avoid interruption, respond asap. This offer is last chance and ends soon. Follow the instructions immediately.

Account Services,
Taylor Wong",1,urgency,high,0.79
"I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Thanks for reviewing the document.

Best,
Jamie Khan",0,legitimate,low,0.99
"Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

I'll share the slides later today.

Best,
Casey Kim",0,legitimate,low,1.0
"Hello, confirming our meeting on Thursday at 2 PM in the conference room. Please bring the draft slides for review.

I'll share the slides later today.

Best,
Taylor Brown",0,legitimate,low,0.95
"Notice, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Compliance Team,
Casey Garcia",1,generic_phishing,medium,0.68
"Dear user, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Security Team,
Morgan Lee",1,urgency,high,0.79
"Quick reminder about the training session tomorrow. The materials are in the shared drive.

Appreciate your feedback on this draft.

Best,
Taylor Brown",0,legitimate,low,0.98
"Attention, congratulations! You are the selected recipient of a refund. To collect your gift of 3 BTC, please provide your account number to process the total. This offer is available today only.

Risk Operations,
Morgan Garcia",1,financial_scam,medium,0.81
"Hi there, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Support Desk,
Morgan Kim",1,tech_support,high,0.88
"Dear user, this is the microsoft security team. There are policy concerns on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a hold.

Security Team,
Alex Khan",1,authority_scam,high,0.89
"Thanks for attending the workshop. Here are links to references and the slide deck.

I'll share the slides later today.

Best,
Avery Garcia",0,legitimate,low,1.0
"Hello, your profile has been restricted. Use the secure link to update password and restore access. Enter your verification code to continue.

Account Services,
Alex Garcia",1,credential_harvesting,high,0.95
"Hi there, congratulations! You are the winner of a refund. To collect your gift of 3 BTC, please provide your routing number to process the total. This offer is limited time.

IT Desk,
Cameron Khan",1,financial_scam,high,0.75
"Hello, your account has been locked. Use the secure link to update password and restore access. Enter your verification code to continue.

Security Team,
Jamie Garcia",1,credential_harvesting,high,0.94
"Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Thanks for reviewing the document.

Best,
Casey Wong",0,legitimate,low,0.97
"Hi team, sharing the latest notes from today's sync. Next steps are attached in the document. Let me know your thoughts.

Let me know if the timing works for you.

Best,
Riley Kim",0,legitimate,low,0.99
"Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Appreciate your feedback on this draft.

Best,
Taylor Khan",0,legitimate,low,0.99
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Support Desk,
Casey Nguyen",1,romance_dating,medium,0.9
"Hi team, sharing the latest notes from today's sync. Next steps are attached in the document. Let me know your thoughts.

Thanks for reviewing the document.

Best,
Casey Wong",0,legitimate,low,0.98
"Thanks for your help on the analysis. I've pushed the changes and added comments in the PR for clarity.

Appreciate your feedback on this draft.

Best,
Jordan Lee",0,legitimate,low,0.99
"Dear customer, this is the google accounts team. There are policy concerns on your account. To remain in good standing, follow the official steps to review your account today. Failure to respond may result in a suspension.

Regards,
Cameron Brown",1,authority_scam,high,0.92
"Thanks for your help on the analysis. I've pushed the changes and added comments in the PR for clarity.

Feel free to add notes before we meet.

Best,
Alex Kim",0,legitimate,low,0.96
"Notice, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

IT Desk,
Jordan Lee",1,credential_harvesting,high,0.79
"Attention, your account has been suspended. Use the secure link to verify your username and restore access. Enter your 2FA code to continue.

Sincerely,
Jordan Singh",1,credential_harvesting,high,0.95
"Dear customer, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Security Team,
Sam Kim",1,urgency,medium,0.87
"Account holder, final warning. Failure to respond will terminate your account. Immediate action is required to avoid fine. Your case will be referred to court if unresolved.

Risk Operations,
Alex Garcia",1,threats,high,0.89
"Dear user, congratulations! You are the selected recipient of a reward. To claim your gift of €5,000, please provide your credit card to process the amount. This deal is available today only.

Risk Operations,
Riley Garcia",1,financial_scam,medium,0.8
"Dear customer, I remembered you mentioning the children's hospital charity gala where we ran into each other. I'm a stranded traveler right now; the hotel is asking for payment verification to extend stay. If you could assist with an emergency loan, I can provide replacement cards soon—trust building is important to me.

IT Desk,
Cameron Khan",1,social_engineering_advanced,high,0.87
"Hi there, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Compliance Team,
Sam Wong",1,romance_dating,medium,0.76
"Hi team, sharing notes from today's sync. Next steps are in the shared doc. Let me know your thoughts.

Let me know if the timing works for you.

Best,
Jordan Singh",0,legitimate,low,1.0
"Notice, this is an don't wait notice regarding your account. Your access will expire within 24 hours. To avoid interruption, complete the form now. This offer is time sensitive and ends soon. Follow the instructions now.

Security Team,
Taylor Nguyen",1,urgency,medium,0.93
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Regards,
Morgan Singh",1,romance_dating,high,0.75
"Attention, final warning. Failure to respond will hold your account. Immediate action is required to avoid penalty. Your case will be referred to the judge if unresolved.

IT Desk,
Cameron Martinez",1,threats,high,0.87
"Hi there, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Support Desk,
Taylor Khan",1,romance_dating,medium,0.82
"Good morning, the updated agenda for next week is included below. Please check your tasks and add comments.

I'll share the slides later today.

Best,
Casey Singh",0,legitimate,low,0.96
"Hello, confirming our meeting on Thursday at 2 PM in the conference room. Please bring the draft slides.

Let me know if the timing works for you.

Best,
Riley Wong",0,legitimate,low,0.99
"Dear customer, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Sincerely,
Jamie Wong",1,credential_harvesting,high,0.93
"Good morning, the updated agenda for next week is included below. Please check your tasks and add comments.

Appreciate your feedback on this draft.

Best,
Sam Wong",0,legitimate,low,0.96
"Attention, I remembered you mentioning the children's hospital charity gala where we ran into each other. I'm a stranded traveler right now; the hotel is asking for payment verification to extend stay. If you could assist with an emergency loan, I can provide replacement cards soon—trust building is important to me.

Sincerely,
Riley Patel",1,social_engineering_advanced,high,0.81
"Hello, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Regards,
Casey Khan",1,romance_dating,medium,0.85
"I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Let me know if the timing works for you.

Best,
Taylor Garcia",0,legitimate,low,0.96
"Hi there, this is the account services accounts team. There are security concerns on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a suspension.

Sincerely,
Avery Khan",1,authority_scam,high,0.9
"Dear user, this is the customs accounts team. There are policy concerns on your account. To remain in good standing, follow the official steps to review your account today. Failure to respond may result in a hold.

Risk Operations,
Riley Wong",1,authority_scam,high,0.8
"Thanks for attending the workshop. Here are the links to references and the slide deck.

I'll share the slides later today.

Best,
Sam Patel",0,legitimate,low,0.98
"Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Feel free to add notes before we meet.

Best,
Jordan Singh",0,legitimate,low,0.98
"Dear user, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Security Team,
Jamie Nguyen",1,romance_dating,high,0.87
"Hello, congratulations! You are the selected recipient of a refund. To claim your payment of €5,000, please provide your routing number to process the total. This offer is available today only.

Security Team,
Casey Lee",1,financial_scam,high,0.92
"Please find the minutes from our last meeting. Action items are listed at the end for convenience.

Feel free to add notes before we meet.

Best,
Taylor Garcia",0,legitimate,low,0.97
"Hello, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

IT Desk,
Avery Garcia",1,romance_dating,medium,0.71
"Hi there, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Support Desk,
Riley Wong",1,tech_support,high,0.92
"Hello, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Account Services,
Cameron Singh",1,credential_harvesting,high,0.79
"Thanks for attending the workshop. Here are the links to references and the slide deck.

Let me know if the timing works for you.

Best,
Avery Lee",0,legitimate,low,0.95
"Hi there, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Regards,
Taylor Singh",1,romance_dating,medium,0.84
"Sharing the revised documentation with examples. The new endpoints are described in section two.

I'll share the slides later today.

Best,
Sam Singh",0,legitimate,low,0.99
"Hi there, your account has been restricted. Use the secure link to verify your username and restore access. Enter your username and password to continue.

Security Team,
Sam Singh",1,credential_harvesting,high,0.94
"Attention, final warning. Failure to respond will freeze your account. Immediate action is required to avoid fine. Your case will be referred to court if unresolved.

Support Desk,
Taylor Nguyen",1,threats,high,0.84
"Dear customer, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Compliance Team,
Casey Garcia",1,generic_phishing,low,0.84
"Sharing the revised documentation with examples. The new endpoints are described in section two.

Appreciate your feedback on this draft.

Best,
Riley Wong",0,legitimate,low,0.97
"Hi there, your profile has been restricted. Use the secure link to verify your username and restore access. Enter your username and password to continue.

Support Desk,
Jamie Patel",1,credential_harvesting,high,0.81
"Dear customer, this is the irs security team. There are policy concerns on your account. To remain in good standing, follow the official steps to review your account today. Failure to respond may result in a hold.

Risk Operations,
Jordan Khan",1,authority_scam,high,0.91
"Hello, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

IT Desk,
Casey Brown",1,credential_harvesting,high,0.91
"Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

I'll share the slides later today.

Best,
Sam Patel",0,legitimate,low,0.97
"Please find the minutes from our last meeting. Action items are listed at the end for convenience.

Let me know if the timing works for you.

Best,
Jamie Patel",0,legitimate,low,0.97
"Hello, confirming our meeting on Thursday at 2 PM in the conference room. Please bring the draft slides for review.

Feel free to add notes before we meet.

Best,
Jordan Lee",0,legitimate,low,0.95
"Thanks for attending the workshop. Here are the links to references and the slide deck.

Thanks for reviewing the document.

Best,
Jordan Patel",0,legitimate,low,0.99
"Attention, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Sincerely,
Morgan Kim",1,credential_harvesting,high,0.79
"Hello, confirming our meeting on Thursday at 2 PM in the conference room. Please bring the draft slides.

Appreciate your feedback on this draft.

Best,
Casey Brown",0,legitimate,low,0.96
